PLAYER_ID,PLAYER_NAME,TEAM,GP,MPG,PPG,RPG,APG,SPG,BPG,TOV,FG_PCT,3P_PCT,FT_PCT,SEASON
1627747,Caris LeVert,CLE,58,30.7,17.0,3.7,4.3,0.9,0.4,1.9,0.444,0.32,0.756,2021-22
1630637,Carlik Jones,DEN,5,4.7,0.8,0.6,1.0,0.2,0.0,0.6,0.111,0.0,1.0,2021-22
2546,Carmelo Anthony,LAL,69,26.0,13.3,4.2,1.0,0.7,0.8,0.9,0.441,0.375,0.83,2021-22
1629035,Carsen Edwards,DET,4,19.8,5.8,1.5,3.5,0.5,0.0,1.3,0.3,0.25,1.0,2021-22
1630199,Cassius Stanley,DET,9,17.2,5.8,2.1,0.4,0.6,0.2,0.7,0.413,0.235,1.0,2021-22
1630216,Cassius Winston,WAS,7,5.6,2.0,0.1,1.0,0.0,0.0,0.4,0.364,0.333,1.0,2021-22
1627760,Cat Barber,ATL,3,4.3,0.0,1.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,2021-22
1626224,Cedi Osman,CLE,66,22.1,10.7,2.2,2.0,0.8,0.2,1.0,0.432,0.357,0.664,2021-22
1628990,Chandler Hutchison,PHX,6,3.7,0.7,0.8,0.3,0.0,0.0,0.7,0.5,0.0,1.0,2021-22
1629646,Charles Bassey,PHI,23,7.3,3.0,2.7,0.3,0.2,0.7,0.3,0.638,0.0,0.75,2021-22
1629718,Charlie Brown Jr.,PHI,22,8.1,1.4,1.5,0.3,0.5,0.2,0.2,0.256,0.083,0.9,2021-22
1630602,Chaundee Brown Jr.,ATL,5,20.7,6.2,3.2,0.8,0.4,0.0,0.2,0.313,0.333,0.833,2021-22
1627767,Cheick Diallo,DET,3,10.2,3.7,4.0,0.0,0.3,0.0,0.3,0.375,0.0,0.833,2021-22
1629002,Chimezie Metu,SAC,60,21.3,8.9,5.6,1.0,0.9,0.5,1.0,0.452,0.306,0.78,2021-22
1628449,Chris Boucher,TOR,80,21.1,9.4,6.2,0.3,0.6,0.9,0.5,0.464,0.297,0.777,2021-22
1629185,Chris Chiozza,GSW,34,10.9,2.0,1.1,1.9,0.4,0.0,0.9,0.296,0.321,0.667,2021-22
1630537,Chris Duarte,IND,55,28.0,13.1,4.1,2.1,1.0,0.2,1.6,0.432,0.369,0.804,2021-22
101108,Chris Paul,PHX,65,32.9,14.7,4.4,10.8,1.9,0.3,2.4,0.493,0.317,0.837,2021-22
1629735,Chris Silva,MIA,10,9.1,2.6,3.6,0.7,0.0,0.1,0.8,0.533,0.0,0.833,2021-22
1626174,Christian Wood,HOU,68,30.8,17.9,10.1,2.3,0.8,1.0,1.9,0.501,0.39,0.623,2021-22
1629643,Chuma Okeke,ORL,70,25.0,8.6,5.0,1.7,1.4,0.6,0.8,0.376,0.318,0.846,2021-22
203991,Clint Capela,ATL,74,27.6,11.1,11.9,1.2,0.7,1.3,0.6,0.613,0.0,0.473,2021-22
1629632,Coby White,CHI,61,27.5,12.7,3.0,2.9,0.5,0.2,1.1,0.433,0.385,0.857,2021-22
1628998,Cody Martin,CHA,71,26.3,7.7,4.0,2.5,1.2,0.5,0.9,0.482,0.384,0.701,2021-22
203469,Cody Zeller,POR,27,13.1,5.2,4.6,0.8,0.3,0.2,0.7,0.567,0.0,0.776,2021-22
1630175,Cole Anthony,ORL,65,31.7,16.3,5.4,5.7,0.7,0.3,2.6,0.391,0.338,0.854,2021-22
1629012,Collin Sexton,CLE,11,28.8,16.0,3.3,2.1,0.9,0.0,2.8,0.45,0.244,0.744,2021-22
1630557,Corey Kispert,WAS,77,23.4,8.2,2.7,1.1,0.5,0.3,0.6,0.455,0.35,0.871,2021-22
202709,Cory Joseph,DET,65,24.6,8.0,2.7,3.6,0.6,0.3,1.3,0.445,0.414,0.885,2021-22
1628591,Craig Sword,WAS,3,6.3,2.0,0.0,0.3,1.3,0.0,0.3,0.75,0.0,0.0,2021-22
1626156,D'Angelo Russell,MIN,65,31.9,18.1,3.3,7.1,1.0,0.3,2.5,0.411,0.34,0.825,2021-22
201571,D.J. Augustin,LAL,55,16.1,5.3,1.2,1.9,0.3,0.0,1.0,0.423,0.415,0.884,2021-22
1628391,D.J. Wilson,TOR,4,13.5,7.5,4.0,1.3,1.3,0.3,0.5,0.733,0.0,0.8,2021-22
1629610,DaQuan Jeffries,MEM,3,2.9,0.7,0.7,0.3,0.0,0.0,0.0,0.5,0.0,0.0,2021-22
1630227,Daishen Nix,HOU,24,10.9,3.2,1.4,1.7,0.6,0.0,1.1,0.403,0.269,0.533,2021-22
1629751,Dakota Mathias,MEM,6,2.7,1.0,0.3,0.2,0.2,0.0,0.0,0.333,0.333,0.0,2021-22
1630625,Dalano Banton,TOR,64,10.9,3.2,1.9,1.5,0.4,0.2,0.8,0.411,0.255,0.591,2021-22
1627745,Damian Jones,SAC,56,18.2,8.1,4.4,1.2,0.5,0.8,1.1,0.658,0.345,0.718,2021-22
203081,Damian Lillard,POR,29,36.4,24.0,4.1,7.3,0.6,0.4,2.9,0.402,0.324,0.878,2021-22
1627814,Damion Lee,GSW,63,19.9,7.4,3.2,1.0,0.6,0.1,0.6,0.441,0.337,0.88,2021-22
1628422,Damyean Dotson,NYK,2,10.3,2.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,2021-22
1629655,Daniel Gafford,WAS,72,20.1,9.4,5.7,0.9,0.4,1.4,0.9,0.693,0.0,0.699,2021-22
1630187,Daniel Oturu,TOR,3,9.1,3.0,1.7,0.0,0.0,0.7,0.0,0.5,0.0,0.6,2021-22
1628464,Daniel Theis,BOS,47,20.8,8.2,4.9,0.9,0.4,0.7,1.0,0.519,0.308,0.681,2021-22
201568,Danilo Gallinari,ATL,66,25.3,11.7,4.7,1.5,0.4,0.2,0.6,0.434,0.381,0.904,2021-22
201980,Danny Green,PHI,62,21.8,5.9,2.5,1.0,1.0,0.6,0.7,0.394,0.38,0.786,2021-22
1627863,Danuel House Jr.,UTA,42,17.3,5.9,2.6,1.0,0.5,0.4,0.8,0.404,0.376,0.759,2021-22
1629647,Darius Bazley,OKC,69,27.9,10.8,6.3,1.4,0.8,1.0,1.3,0.422,0.297,0.688,2021-22
1629636,Darius Garland,CLE,68,35.7,21.7,3.3,8.6,1.3,0.1,3.6,0.462,0.383,0.892,2021-22
201954,Darren Collison,LAL,3,12.4,1.3,1.3,0.7,0.3,0.0,0.3,0.286,0.0,0.0,2021-22
1630561,David Duke Jr.,BKN,22,15.5,4.7,3.0,0.8,0.6,0.3,0.4,0.361,0.243,0.81,2021-22
1630525,David Johnson,TOR,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22
1628021,David Nwaba,HOU,46,13.2,5.1,3.3,0.8,0.6,0.4,0.5,0.483,0.306,0.716,2021-22
1630558,Davion Mitchell,SAC,75,27.7,11.5,2.2,4.2,0.7,0.3,1.5,0.418,0.316,0.659,2021-22
202722,Davis Bertans,DAL,56,14.4,5.6,2.1,0.6,0.3,0.2,0.3,0.36,0.335,0.9,2021-22
1628432,Davon Reed,DEN,48,13.9,4.4,2.3,1.1,0.5,0.2,0.3,0.503,0.43,0.667,2021-22
1630549,Day'Ron Sharpe,BKN,32,12.2,6.2,5.0,0.5,0.3,0.5,0.9,0.577,0.286,0.585,2021-22
1628368,De'Aaron Fox,SAC,59,35.3,23.2,3.9,5.6,1.2,0.4,2.8,0.473,0.297,0.75,2021-22
1629631,De'Andre Hunter,ATL,53,29.8,13.4,3.3,1.3,0.7,0.4,1.3,0.442,0.379,0.765,2021-22
1629001,De'Anthony Melton,MEM,73,22.7,10.8,4.5,2.7,1.4,0.5,1.5,0.404,0.374,0.75,2021-22
201599,DeAndre Jordan,PHI,48,13.0,4.3,5.5,0.4,0.3,0.7,0.8,0.643,0.0,0.55,2021-22
1627761,DeAndre' Bembry,MIL,56,18.3,5.1,2.9,1.2,0.9,0.4,0.6,0.561,0.417,0.6,2021-22
1630610,DeJon Jarreau,IND,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22
201942,DeMar DeRozan,CHI,76,36.1,27.9,5.2,4.9,0.9,0.3,2.4,0.504,0.352,0.877,2021-22
202326,DeMarcus Cousins,DEN,48,14.9,9.0,5.6,1.5,0.7,0.4,1.8,0.46,0.303,0.76,2021-22
1629731,Dean Wade,CLE,51,19.2,5.3,2.9,1.0,0.6,0.1,0.3,0.456,0.359,0.667,2021-22
1629028,Deandre Ayton,PHX,58,29.5,17.2,10.2,1.4,0.7,0.7,1.6,0.634,0.368,0.746,2021-22
1629686,Deividas Sirvydis,DET,3,8.9,1.0,2.0,0.3,1.0,0.3,0.0,0.1,0.143,0.0,2021-22
1627749,Dejounte Murray,SAS,68,34.8,21.1,8.3,9.2,2.0,0.3,2.6,0.462,0.327,0.794,2021-22
1626153,Delon Wright,ATL,77,18.9,4.4,2.9,2.4,1.2,0.2,0.6,0.454,0.379,0.857,2021-22
1630166,Deni Avdija,WAS,82,24.2,8.4,5.2,2.0,0.7,0.5,1.1,0.432,0.317,0.757,2021-22
203471,Dennis Schröder,HOU,64,28.7,13.5,3.3,4.6,0.8,0.1,2.2,0.431,0.344,0.853,2021-22
1628372,Dennis Smith Jr.,POR,37,17.3,5.6,2.4,3.6,1.2,0.3,1.4,0.418,0.222,0.656,2021-22
1627756,Denzel Valentine,UTA,24,9.2,2.9,1.8,0.5,0.3,0.0,0.5,0.379,0.404,0.0,2021-22
202324,Derrick Favors,OKC,39,16.7,5.3,4.7,0.6,0.4,0.3,0.2,0.516,0.125,0.64,2021-22
1627884,Derrick Jones Jr.,CHI,51,17.6,5.6,3.3,0.6,0.5,0.6,0.6,0.538,0.328,0.8,2021-22
201565,Derrick Rose,NYK,26,24.5,12.0,3.0,4.0,0.8,0.5,1.5,0.445,0.402,0.968,2021-22
1628476,Derrick Walton Jr.,DET,3,36.1,6.3,3.3,7.0,2.3,1.3,3.7,0.231,0.231,1.0,2021-22
1628401,Derrick White,BOS,75,29.3,13.2,3.5,4.9,0.9,0.8,1.6,0.421,0.312,0.864,2021-22
1630217,Desmond Bane,MEM,76,29.8,18.2,4.4,2.7,1.2,0.4,1.5,0.461,0.436,0.903,2021-22
1626164,Devin Booker,PHX,68,34.5,26.8,5.0,4.8,1.1,0.4,2.4,0.466,0.383,0.868,2021-22
1629962,Devin Cannady,ORL,5,28.9,10.0,1.2,2.0,1.0,0.6,1.0,0.341,0.405,0.714,2021-22
1630170,Devin Vassell,SAS,71,27.3,12.3,4.3,1.9,1.1,0.6,0.8,0.427,0.361,0.838,2021-22
1629653,Devon Dotson,CHI,11,7.7,2.6,0.8,1.4,0.1,0.0,0.5,0.478,0.222,0.556,2021-22
1629719,Devontae Cacok,SAS,15,8.1,3.1,2.8,0.4,0.5,0.5,0.2,0.677,0.0,0.571,2021-22
1628984,Devonte' Graham,NOP,76,28.4,11.9,2.3,4.2,0.9,0.2,1.4,0.363,0.341,0.843,2021-22
203473,Dewayne Dedmon,MIA,67,15.9,6.3,5.8,0.7,0.4,0.6,1.0,0.566,0.404,0.75,2021-22
1629712,Didi Louzada,POR,9,14.4,3.9,1.9,0.6,0.2,0.2,0.6,0.364,0.391,1.0,2021-22
1628415,Dillon Brooks,MEM,32,27.7,18.4,3.2,2.8,1.1,0.3,1.6,0.432,0.309,0.849,2021-22
1627734,Domantas Sabonis,SAC,62,34.4,18.9,12.1,5.2,1.0,0.4,3.1,0.573,0.312,0.741,2021-22
1628378,Donovan Mitchell,UTA,67,33.8,25.9,4.2,5.3,1.5,0.2,3.0,0.448,0.355,0.853,2021-22
1628978,Donte DiVincenzo,SAC,42,23.9,9.0,4.0,2.8,1.1,0.2,1.7,0.351,0.339,0.843,2021-22
1627827,Dorian Finney-Smith,DAL,80,33.0,11.0,4.7,1.9,1.1,0.5,1.0,0.471,0.395,0.675,2021-22
203926,Doug McDermott,SAS,51,24.0,11.3,2.3,1.3,0.3,0.1,0.8,0.462,0.422,0.784,2021-22
203110,Draymond Green,GSW,46,28.9,7.5,7.3,7.0,1.3,1.1,3.0,0.525,0.296,0.659,2021-22
1629234,Drew Eubanks,POR,71,17.5,7.7,5.4,1.2,0.4,0.6,1.1,0.596,0.217,0.762,2021-22
1630613,Duane Washington Jr.,IND,48,20.2,9.9,1.7,1.8,0.5,0.1,1.2,0.405,0.377,0.754,2021-22
